platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	8.0.1	6302	2017-02-24
2	主APP	ios	8.0.2	5335	2017-02-24
2	主APP	ios	8.0.4	4699	2017-02-24
2	主APP	ios	8.0.5	10943	2017-02-24
2	主APP	ios	8.0.6	9960	2017-02-24
2	主APP	ios	8.0.8	17681	2017-02-24
2	主APP	ios	8.1.0	22355	2017-02-24
2	主APP	ios	8.1.2	36261	2017-02-24
2	主APP	ios	8.1.4	31400	2017-02-24
2	主APP	ios	8.1.6	28064	2017-02-24
2	主APP	ios	9.0.0	6582	2017-02-24
2	主APP	ios	9.0.1	220023	2017-02-24
2	主APP	ios	9.0.2	108918	2017-02-24
2	主APP	ios	9.0.4	46425	2017-02-24
2	主APP	ios	9.0.6	75907	2017-02-24
2	主APP	ios	9.0.8	57501	2017-02-24
2	主APP	ios	9.1.0	104697	2017-02-24
2	主APP	ios	9.1.10	0	2017-02-24
2	主APP	ios	9.1.2	549063	2017-02-24
2	主APP	ios	9.1.6	4055636	2017-02-24
2	主APP	ios	9.1.7	0	2017-02-24
2	主APP	ios	9.1.8	63	2017-02-24
2	主APP	ios	9.1.9	0	2017-02-24
2	主APP	ios	1.0.0	0	2017-02-17
2	主APP	ios	1.0.1	0	2017-02-17
2	主APP	ios	1.0.3	1	2017-02-17
2	主APP	ios	1.1.0	69	2017-02-17
2	主APP	ios	2.2.0	0	2017-02-17
2	主APP	ios	3.0.0	1	2017-02-17
2	主APP	ios	3.1.1	0	2017-02-17
2	主APP	ios	4.0.0	4	2017-02-17
2	主APP	ios	4.1.0	0	2017-02-17
2	主APP	ios	4.1.2	2	2017-02-17
2	主APP	ios	4.2.0	3	2017-02-17
2	主APP	ios	4.3.0	1	2017-02-17
2	主APP	ios	4.4.0	0	2017-02-17
2	主APP	ios	4.5.0	0	2017-02-17
2	主APP	ios	4.6.0	2	2017-02-17
2	主APP	ios	4.6.1	3	2017-02-17
2	主APP	ios	4.7.0	1	2017-02-17
2	主APP	ios	4.7.1	0	2017-02-17
2	主APP	ios	4.8.0	2	2017-02-17
2	主APP	ios	4.8.1	5	2017-02-17
2	主APP	ios	4.8.2	0	2017-02-17
2	主APP	ios	4.9.0	4	2017-02-17
